,brand_name,entree,side,dessert,calories,total_fat,carbs,sugar,protein,saturated_fat,cholesterol,sodium,meal_type,tag
84,McDonald's,Pico Guacamole Grilled Chicken Sandwich on Potato Roll,,,470.0,17.0,40.0,6.0,38.0,5.0,115.0,1520.0,entree_only,none
116,McDonald's,"Bacon, Egg & Cheese Scratch Biscuit",,,480.0,25.0,43.0,4.0,19.0,12.0,235.0,1310.0,entree_only,breakfast
125,McDonald's,Steak & Egg Burrito,,,350.0,15.0,38.0,3.0,16.0,6.0,115.0,950.0,entree_only,breakfast
132,McDonald's,Caesar McWrap With Artisan Grilled Chicken,,,470.0,18.0,40.0,5.0,38.0,5.0,110.0,1440.0,entree_only,none
138,McDonald's,Green Chili Double Cheeseburger,,,390.0,18.0,34.0,7.0,23.0,8.0,70.0,760.0,entree_only,none
139,McDonald's,Bacon Double Cheeseburger,,,500.0,26.0,36.0,8.0,30.0,12.0,100.0,1280.0,entree_only,breakfast
140,McDonald's,Biscuit and Homestyle Gravy,,,550.0,33.0,54.0,7.0,9.0,15.0,25.0,1740.0,entree_only,breakfast
154,McDonald's,Deluxe Burger on Sesame Seed Bun,,,470.0,24.0,37.0,7.0,26.0,10.0,80.0,530.0,entree_only,none
164,McDonald's,Artisan Grilled Chicken Sandwich,,,380.0,7.0,44.0,11.0,37.0,2.0,95.0,1110.0,entree_only,none
174,McDonald's,Chicken McNuggets (6 piece),,,270.0,16.0,16.0,0.0,15.0,2.5,45.0,510.0,entree_only,none
181,McDonald's,Filet-O-Fish,,,410.0,20.0,39.0,5.0,18.0,5.0,50.0,660.0,entree_only,none
199,McDonald's,"Ranch Snack Wrap, Buttermilk Crispy",,,380.0,20.0,34.0,2.0,16.0,6.0,45.0,830.0,entree_only,none
208,McDonald's,"Premium McWrap Chicken Sweet Chili, Grilled",,,420.0,10.0,46.0,11.0,35.0,3.0,100.0,1420.0,entree_only,none
212,McDonald's,Grilled Onion Cheddar Burger Triple,,,530.0,29.0,35.0,6.0,32.0,14.0,115.0,1080.0,entree_only,none
215,McDonald's,Bacon McDouble New York,,,450.0,22.0,34.0,7.0,28.0,10.0,85.0,1080.0,entree_only,breakfast
217,McDonald's,Steak Egg and Cheese Bagel with Slivered Onions,,,620.0,30.0,54.0,7.0,32.0,13.0,255.0,1390.0,entree_only,breakfast
229,McDonald's,Portuguese Sausage Side Order,,,220.0,19.0,2.0,1.0,10.0,7.0,50.0,570.0,entree_only,breakfast
230,McDonald's,Pico Guacamole Buttermilk Crispy Chicken on Potato Roll,,,640.0,31.0,59.0,6.0,29.0,7.0,80.0,1410.0,entree_only,none
235,McDonald's,Green Chili Double Cheeseburger New York,,,390.0,18.0,34.0,7.0,23.0,8.0,70.0,750.0,entree_only,none
239,McDonald's,Southern Style Buttermilk Crispy Chicken Sandwich,,,470.0,20.0,48.0,5.0,25.0,4.5,65.0,950.0,entree_only,none
245,McDonald's,Donatos 7 inch Pepperoni Pizza,,,510.0,26.0,43.0,4.0,26.0,12.0,80.0,1200.0,entree_only,none
252,McDonald's,Hot N' Spicy McChicken Deluxe,,,440.0,20.0,48.0,7.0,18.0,6.0,55.0,840.0,entree_only,none
257,McDonald's,Guacamole Buttermilk Crispy Chicken Sandwich,,,680.0,31.0,69.0,12.0,31.0,7.0,75.0,1410.0,entree_only,none
261,McDonald's,Cheeseburger Bacon,,,360.0,16.0,34.0,7.0,21.0,7.0,55.0,920.0,entree_only,breakfast
268,McDonald's,Blueberry Biscuit,,,230.0,8.0,36.0,11.0,3.0,4.0,0.0,470.0,entree_only,breakfast
273,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,,,360.0,9.0,36.0,6.0,35.0,2.5,100.0,1140.0,entree_only,none
275,McDonald's,Hot N Spicy McChicken Scratch Biscuit,,,460.0,23.0,49.0,3.0,14.0,9.0,75.0,1090.0,entree_only,breakfast
276,McDonald's,Triple Bacon Cheeseburger,,,590.0,32.0,37.0,8.0,38.0,15.0,125.0,1400.0,entree_only,breakfast
277,McDonald's,Deluxe Buttermilk Crispy Chicken on Artisan Roll,,,580.0,23.0,65.0,11.0,28.0,5.0,60.0,1050.0,entree_only,none
282,McDonald's,Jalapeno McChicken,,,430.0,20.0,44.0,6.0,18.0,5.0,55.0,1030.0,entree_only,none
283,McDonald's,Chicken Sausage McMuffin,,,290.0,12.0,29.0,2.0,16.0,6.0,65.0,800.0,entree_only,breakfast
284,McDonald's,Buttermilk Crispy Chicken Sandwich,,,570.0,23.0,64.0,11.0,28.0,5.0,60.0,1050.0,entree_only,none
292,McDonald's,Deluxe Artisan Grilled Chicken on Sesame Seed Bun,,,360.0,9.0,36.0,7.0,35.0,2.5,100.0,1070.0,entree_only,none
298,McDonald's,Triple Bacon Cheeseburger New York,,,590.0,32.0,37.0,8.0,38.0,15.0,125.0,1400.0,entree_only,breakfast
309,McDonald's,Pico Guacamole Buttermilk Crispy Chicken on Sesame Seed Bun,,,630.0,32.0,59.0,7.0,29.0,7.0,80.0,1340.0,entree_only,none
317,McDonald's,Pico Guacamole Burger on Potato Roll,,,580.0,33.0,42.0,6.0,30.0,12.0,95.0,990.0,entree_only,none
331,McDonald's,Big Mac,,,540.0,28.0,46.0,9.0,25.0,10.0,80.0,950.0,entree_only,none
335,McDonald's,Daily Double,,,430.0,22.0,35.0,6.0,23.0,10.0,75.0,760.0,entree_only,none
349,McDonald's,McRib,,,480.0,22.0,45.0,12.0,25.0,7.0,80.0,870.0,entree_only,none
353,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,,,190.0,12.0,9.0,3.0,14.0,5.0,40.0,500.0,entree_only,breakfast
354,McDonald's,Premium Southwest Salad with Buttermilk Crispy Chicken,,,160.0,7.0,19.0,4.0,8.0,3.0,15.0,200.0,entree_only,none
355,McDonald's,Quarter Pounder with Cheese,,,530.0,27.0,41.0,10.0,31.0,13.0,100.0,1090.0,entree_only,none
356,McDonald's,Sausage Biscuit,,,460.0,30.0,36.0,3.0,11.0,13.0,40.0,1050.0,entree_only,breakfast
357,McDonald's,Sausage McMuffin with Egg,,,470.0,30.0,30.0,3.0,21.0,12.0,275.0,810.0,entree_only,breakfast
359,McDonald's,Southern Style Chicken Biscuit,,,440.0,22.0,45.0,4.0,16.0,8.0,35.0,1230.0,entree_only,breakfast
368,McDonald's,"Premium McWrap Chicken & Bacon, Buttermilk Crispy",,,680.0,33.0,60.0,5.0,35.0,10.0,95.0,1570.0,entree_only,breakfast
369,McDonald's,Bacon McDouble,,,450.0,22.0,34.0,7.0,28.0,10.0,85.0,1080.0,entree_only,breakfast
371,McDonald's,Old Bay Double Filet-O-Fish Sandwich,,,540.0,25.0,49.0,5.0,29.0,6.0,80.0,760.0,entree_only,none
372,McDonald's,Double Filet-O- Fish,,,540.0,26.0,48.0,5.0,28.0,6.0,80.0,780.0,entree_only,none
375,McDonald's,Sausage Scratch Biscuit,,,490.0,32.0,39.0,3.0,12.0,13.0,75.0,1070.0,entree_only,breakfast
377,McDonald's,Buttermilk Crispy Chicken Tenders (2 piece),,,240.0,13.0,11.0,0.0,20.0,2.0,50.0,680.0,entree_only,none
379,McDonald's,Pico Guacamole Burger on Sesame Seed Bun,,,580.0,33.0,41.0,7.0,29.0,12.0,95.0,920.0,entree_only,none
386,McDonald's,Sriracha Buttermilk Crispy Chicken on Sesame Seed Bun,,,680.0,33.0,65.0,9.0,30.0,7.0,80.0,1340.0,entree_only,none
399,McDonald's,Cheeseburger Bacon New York,,,360.0,16.0,34.0,7.0,20.0,7.0,55.0,920.0,entree_only,breakfast
462,McDonald's,Deluxe Burger on Artisan Roll,,,520.0,24.0,47.0,11.0,28.0,10.0,80.0,620.0,entree_only,none
475,McDonald's,Southern Style Chicken Biscuit Pressure Fried,,,440.0,22.0,46.0,4.0,15.0,8.0,40.0,1140.0,entree_only,breakfast
491,McDonald's,Cheeseburger,,,300.0,12.0,33.0,7.0,15.0,5.0,40.0,680.0,entree_only,none
499,McDonald's,Hamburger,,,250.0,8.0,31.0,6.0,13.0,3.0,30.0,480.0,entree_only,none
507,McDonald's,McChicken,,,350.0,15.0,40.0,5.0,15.0,3.5,40.0,600.0,entree_only,none
510,McDonald's,Premium Bacon Ranch Salad without chicken,,,320.0,14.0,9.0,4.0,42.0,6.0,135.0,1230.0,entree_only,breakfast
512,McDonald's,Sausage Burrito,,,290.0,15.0,26.0,2.0,13.0,6.0,165.0,800.0,entree_only,breakfast
520,McDonald's,"Premium McWrap Chicken & Ranch, Buttermilk Crispy",,,650.0,33.0,60.0,5.0,30.0,9.0,80.0,1400.0,entree_only,none
521,McDonald's,Quarter Pounder Deluxe,,,590.0,32.0,44.0,11.0,32.0,14.0,105.0,1180.0,entree_only,none
522,McDonald's,Sausage Biscuit with Egg Whites,,,490.0,31.0,36.0,3.0,17.0,14.0,45.0,1140.0,entree_only,breakfast
523,McDonald's,Bacon Buffalo Ranch McChicken,,,430.0,21.0,40.0,6.0,20.0,4.5,55.0,1040.0,entree_only,breakfast
524,McDonald's,Bacon Cheddar McChicken,,,470.0,23.0,43.0,6.0,23.0,8.0,70.0,1040.0,entree_only,breakfast
525,McDonald's,Pico Guacamole Artisan Grilled Chicken without Bun,,,300.0,15.0,8.0,2.0,32.0,4.5,115.0,1200.0,entree_only,none
529,McDonald's,Big Mac with Butter,,,560.0,31.0,46.0,9.0,25.0,12.0,85.0,950.0,entree_only,none
536,McDonald's,Hamburger New York,,,250.0,8.0,31.0,6.0,13.0,3.0,30.0,470.0,entree_only,none
537,McDonald's,Deluxe Buttermilk Crispy Chicken on Potato Roll,,,530.0,22.0,55.0,5.0,26.0,4.5,60.0,1020.0,entree_only,none
538,McDonald's,Hot N Spicy McChicken Biscuit,,,430.0,22.0,46.0,2.0,14.0,9.0,40.0,1070.0,entree_only,breakfast
540,McDonald's,McChicken Deluxe,,,430.0,19.0,47.0,7.0,18.0,6.0,55.0,830.0,entree_only,none
541,McDonald's,Chorizo Burrito,,,310.0,15.0,28.0,3.0,16.0,6.0,175.0,820.0,entree_only,breakfast
544,McDonald's,Quarter Pounder Deluxe New York,,,590.0,32.0,44.0,11.0,32.0,14.0,105.0,1170.0,entree_only,none
555,McDonald's,Quarter Pounder,,,430.0,20.0,38.0,9.0,26.0,8.0,75.0,700.0,entree_only,none
556,McDonald's,Bagel With Cream Cheese,,,310.0,8.0,49.0,6.0,10.0,4.0,25.0,570.0,entree_only,breakfast
561,McDonald's,Bacon Double Cheeseburger New York,,,500.0,26.0,36.0,8.0,30.0,12.0,100.0,1270.0,entree_only,breakfast
563,McDonald's,Double Cheeseburger New York,,,430.0,22.0,35.0,7.0,25.0,11.0,85.0,1040.0,entree_only,none
568,McDonald's,Homestyle Burger,,,440.0,21.0,36.0,6.0,26.0,8.0,75.0,630.0,entree_only,none
570,McDonald's,Donatos 7 inch Cheese Pizza,,,540.0,27.0,43.0,4.0,29.0,15.0,80.0,1270.0,entree_only,none
572,McDonald's,Bagel Plain,,,260.0,2.0,50.0,5.0,10.0,0.0,0.0,500.0,entree_only,breakfast
577,McDonald's,Bacon and White Cheddar Cheese McMuffin,,,350.0,16.0,30.0,3.0,20.0,7.0,255.0,770.0,entree_only,breakfast
578,McDonald's,Quarter Pounder New York,,,430.0,20.0,38.0,9.0,26.0,8.0,75.0,700.0,entree_only,none
599,McDonald's,Caesar McWrap With Buttermilk Crispy Chicken,,,640.0,32.0,60.0,5.0,29.0,7.0,70.0,1320.0,entree_only,none
600,McDonald's,Deluxe Artisan Grilled Chicken on Artisan Roll,,,410.0,9.0,46.0,11.0,37.0,3.0,100.0,1160.0,entree_only,none
601,McDonald's,Double Chocolate Muffin Topper,,,160.0,8.0,20.0,12.0,2.0,2.5,15.0,100.0,entree_only,none
606,McDonald's,Portuguese Sausage Eggs and Rice,,,520.0,29.0,37.0,2.0,26.0,10.0,475.0,690.0,entree_only,breakfast
609,McDonald's,Pico Guacamole Artisan Grilled Chicken Sandwich on Artisan Roll,,,520.0,18.0,50.0,12.0,40.0,6.0,115.0,1540.0,entree_only,none
613,McDonald's,Chicken McNuggets (4 piece),,,180.0,11.0,11.0,0.0,10.0,2.0,30.0,340.0,entree_only,none
627,McDonald's,"Bacon, Egg & Cheese Biscuit",,,450.0,24.0,40.0,3.0,18.0,12.0,200.0,1290.0,entree_only,breakfast
630,McDonald's,Chicken McNuggets (10 piece),,,440.0,27.0,26.0,0.0,24.0,4.5,75.0,840.0,entree_only,none
701,McDonald's,Southern Style Chicken Scratch Biscuit Pressure Fried,,,460.0,23.0,49.0,4.0,15.0,8.0,75.0,1160.0,entree_only,breakfast
703,McDonald's,Biscuit and Gravy,,,440.0,25.0,43.0,3.0,10.0,10.0,20.0,1270.0,entree_only,breakfast
708,McDonald's,Quarter Pounder With Cheese New York,,,530.0,27.0,41.0,10.0,31.0,13.0,100.0,1090.0,entree_only,none
716,McDonald's,Lobster Roll,,,290.0,5.0,35.0,3.0,24.0,1.5,65.0,630.0,entree_only,none
717,McDonald's,Cheeseburger New York,,,300.0,12.0,33.0,7.0,15.0,5.0,40.0,670.0,entree_only,none
728,McDonald's,Pico Guacamole Artisan Grilled Chicken on Sesame Seed Bun,,,470.0,18.0,40.0,7.0,38.0,5.0,115.0,1450.0,entree_only,none
734,McDonald's,Bacon Biscuit,,,340.0,17.0,36.0,3.0,10.0,9.0,20.0,1010.0,entree_only,breakfast
738,McDonald's,Pico Guacamole Buttermilk Crispy Chicken Sandwich on Artisan Roll,,,680.0,32.0,69.0,12.0,31.0,7.0,80.0,1430.0,entree_only,none
745,McDonald's,Sriracha Artisan Grilled Chicken on Sesame Seed Bun,,,510.0,20.0,46.0,9.0,39.0,4.5,115.0,1460.0,entree_only,none
746,McDonald's,McChicken Hot 'N Spicy Patty,,,160.0,10.0,11.0,0.0,9.0,2.0,35.0,300.0,entree_only,none
5,Wendy's,Crispy Chicken Sandwich,,,330.0,16.0,33.0,4.0,14.0,3.0,30.0,600.0,entree_only,none
6,Wendy's,Grilled Chicken Wrap,,,270.0,10.0,24.0,3.0,20.0,3.5,55.0,640.0,entree_only,none
10,Wendy's,"Spicy Chicken Caesar Salad, Half Size",,,410.0,24.0,29.0,4.0,23.0,7.0,80.0,990.0,entree_only,none
26,Wendy's,Artisan Egg Sandwich with Applewood Smoked Bacon,,,360.0,19.0,29.0,4.0,20.0,8.0,250.0,750.0,entree_only,breakfast
31,Wendy's,Mornin' Melt Panini with Applewood Smoked Bacon,,,520.0,33.0,33.0,3.0,31.0,10.0,285.0,790.0,entree_only,breakfast
60,Wendy's,Kids' 4-Piece Chicken Nuggets,,,170.0,11.0,10.0,0.0,9.0,2.0,35.0,340.0,entree_only,none
62,Wendy's,Jr. Cheeseburger,,,280.0,13.0,25.0,5.0,16.0,6.0,50.0,740.0,entree_only,none
63,Wendy's,Jr. Bacon Cheeseburger,,,380.0,22.0,26.0,5.0,19.0,8.0,65.0,770.0,entree_only,breakfast
64,Wendy's,Grilled Chicken Sandwich,,,360.0,8.0,38.0,11.0,35.0,1.5,90.0,820.0,entree_only,none
65,Wendy's,Spicy Chicken Wrap,,,370.0,20.0,30.0,2.0,18.0,5.0,50.0,850.0,entree_only,none
67,Wendy's,10-Piece Chicken Nuggets,,,420.0,27.0,24.0,0.0,22.0,5.0,80.0,850.0,entree_only,none
69,Wendy's,1/4 lb. Hamburger Patty,,,240.0,18.0,0.0,0.0,20.0,7.0,75.0,280.0,entree_only,none
70,Wendy's,Homestyle Chicken Breast,,,280.0,13.0,17.0,0.0,23.0,2.5,70.0,710.0,entree_only,none
74,Wendy's,Garden Side Salad with Ranch Dressing,,,260.0,18.0,19.0,4.0,7.0,4.5,20.0,460.0,entree_only,none
85,Wendy's,6-Piece Chicken Nuggets,,,250.0,16.0,14.0,0.0,13.0,3.5,50.0,510.0,entree_only,none
86,Wendy's,"Asiago Ranch Chicken Club, Grilled",,,520.0,23.0,36.0,7.0,42.0,7.0,125.0,1140.0,entree_only,none
89,Wendy's,Kids' Grilled Chicken Wrap,,,270.0,10.0,24.0,3.0,20.0,3.5,55.0,640.0,entree_only,none
91,Wendy's,Pulled Pork Cheeseburger w/ Smoky BBQ,,,630.0,32.0,42.0,12.0,38.0,13.0,130.0,1270.0,entree_only,none
92,Wendy's,Kids' Hamburger,,,240.0,9.0,24.0,5.0,13.0,3.5,40.0,420.0,entree_only,none
95,Wendy's,3-Piece Chicken Tenders,,,300.0,14.0,20.0,0.0,22.0,2.5,70.0,920.0,entree_only,none
96,Wendy's,"Power Mediterranean Chicken Salad, Half Size",,,250.0,9.0,23.0,10.0,22.0,2.5,50.0,620.0,entree_only,none
100,Wendy's,Jr. Cheeseburger Deluxe,,,330.0,19.0,27.0,6.0,16.0,7.0,55.0,740.0,entree_only,none
101,Wendy's,Homestyle Chicken Wrap,,,340.0,16.0,32.0,4.0,17.0,0.5,50.0,820.0,entree_only,none
105,Wendy's,Jr. Hamburger Patty,,,110.0,8.0,0.0,0.0,9.0,3.5,40.0,130.0,entree_only,none
106,Wendy's,Jr. Sandwich Bun,,,120.0,1.5,23.0,4.0,4.0,0.0,0.0,210.0,entree_only,none
107,Wendy's,Grilled Chicken Breast,,,130.0,2.0,0.0,0.0,29.0,0.5,90.0,370.0,entree_only,none
109,Wendy's,Spicy Chicken Sandwich,,,510.0,21.0,51.0,6.0,30.0,4.0,75.0,1110.0,entree_only,none
117,Wendy's,Premium Cod,,,180.0,9.0,14.0,0.0,11.0,2.0,30.0,480.0,entree_only,none
118,Wendy's,Kids' Cheeseburger,,,270.0,13.0,25.0,5.0,15.0,6.0,50.0,620.0,entree_only,none
120,Wendy's,Honey Butter Chicken Biscuit,,,500.0,26.0,48.0,9.0,19.0,12.0,50.0,1120.0,entree_only,breakfast
121,Wendy's,Sausage Biscuit,,,480.0,33.0,35.0,5.0,12.0,15.0,50.0,1010.0,entree_only,breakfast
128,Wendy's,4-Piece Chicken Tenders,,,400.0,19.0,26.0,1.0,29.0,3.0,90.0,1230.0,entree_only,none
130,Wendy's,"Taco Salad, Half Size",,,470.0,23.0,49.0,12.0,19.0,8.0,45.0,1320.0,entree_only,none
188,Wendy's,Double Stack,,,390.0,21.0,25.0,5.0,25.0,9.0,90.0,910.0,entree_only,none
195,Wendy's,Spicy Chicken Breast,,,270.0,12.0,16.0,0.0,24.0,2.5,70.0,750.0,entree_only,none
197,Wendy's,Homestyle Chicken Sandwich,,,520.0,22.0,52.0,6.0,29.0,4.0,75.0,1070.0,entree_only,none
219,Wendy's,"Asiago Ranch Chicken Club, Spicy",,,660.0,33.0,53.0,7.0,38.0,9.0,105.0,1530.0,entree_only,none
221,Wendy's,Sausage & Egg Burrito,,,390.0,29.0,14.0,2.0,17.0,11.0,260.0,970.0,entree_only,breakfast
226,Wendy's,Crispy Chicken BLT,,,420.0,23.0,35.0,5.0,20.0,6.0,50.0,950.0,entree_only,none
231,Wendy's,Kids' 2-Piece Chicken Tenders,,,200.0,10.0,13.0,0.0,15.0,1.5,45.0,620.0,entree_only,none
2,Burger King,Kids Cheeseburger,,,270.0,12.0,27.0,7.0,13.0,5.0,40.0,560.0,entree_only,none
3,Burger King,Value Menu Bacon Double Cheeseburger,,,370.0,20.0,27.0,7.0,21.0,9.0,75.0,660.0,entree_only,breakfast
8,Burger King,Homestyle Cheeseburger,,,550.0,27.0,48.0,10.0,30.0,12.0,95.0,1140.0,entree_only,none
11,Burger King,Double Bacon Breakfast Sourdough King,,,510.0,24.0,46.0,7.0,27.0,9.0,335.0,1420.0,entree_only,breakfast
12,Burger King,Hamburger,,,220.0,8.0,26.0,6.0,11.0,3.0,30.0,380.0,entree_only,none
13,Burger King,Bacon Cheeseburger,,,300.0,15.0,27.0,7.0,15.0,6.0,50.0,710.0,entree_only,breakfast
14,Burger King,Grilled Chicken Sandwich,,,470.0,19.0,39.0,7.0,37.0,4.0,85.0,840.0,entree_only,none
17,Burger King,Kids Oatmeal,,,170.0,3.0,32.0,12.0,4.0,1.5,5.0,260.0,entree_only,breakfast
20,Burger King,"Bacon, Egg & Cheese Biscuit",,,380.0,23.0,29.0,2.0,13.0,5.0,140.0,1230.0,entree_only,breakfast
40,Burger King,Bacon Double Cheeseburger,,,370.0,20.0,27.0,7.0,21.0,9.0,75.0,660.0,entree_only,breakfast
41,Burger King,Bacon Cheeseburger Deluxe,,,290.0,13.0,28.0,7.0,14.0,6.0,45.0,640.0,entree_only,breakfast
46,Burger King,Garden Side Salad without dressing,,,60.0,4.0,3.0,2.0,4.0,2.5,10.0,95.0,entree_only,none
49,Burger King,Spicy Crispy Chicken Jr.,,,390.0,21.0,37.0,6.0,12.0,3.5,30.0,740.0,entree_only,none
62,Burger King,Value Menu Spicy Crispy Chicken Jr.,,,390.0,21.0,37.0,6.0,12.0,3.5,30.0,740.0,entree_only,none
64,Burger King,"Chicken Nuggets, 6 piece",,,260.0,16.0,16.0,0.0,12.0,2.5,35.0,470.0,entree_only,none
65,Burger King,Grilled Chicken Sandwich without Mayo,,,370.0,7.0,39.0,7.0,36.0,2.0,75.0,740.0,entree_only,none
66,Burger King,Classic Grilled Dog,,,310.0,16.0,32.0,10.0,11.0,6.0,30.0,960.0,entree_only,none
117,Burger King,Value Menu Chicken Nuggets,,,170.0,11.0,11.0,0.0,8.0,1.5,25.0,310.0,entree_only,none
126,Burger King,Whopper Jr Sandwich,,,310.0,18.0,27.0,7.0,13.0,5.0,40.0,390.0,entree_only,none
127,Burger King,Double Cheeseburger,,,350.0,18.0,27.0,7.0,20.0,8.0,70.0,580.0,entree_only,none
128,Burger King,"Kids Chicken Nuggets, 4 piece",,,170.0,11.0,11.0,0.0,8.0,1.5,25.0,310.0,entree_only,none
129,Burger King,BK Veggie Burger,,,390.0,15.0,42.0,9.0,22.0,2.5,5.0,1060.0,entree_only,none
132,Burger King,"Ham, Egg, & Cheese Biscuit",,,370.0,21.0,30.0,3.0,16.0,4.0,145.0,1500.0,entree_only,breakfast
147,Burger King,BK Veggie Burger without Mayo,,,310.0,7.0,42.0,9.0,22.0,1.0,0.0,990.0,entree_only,none
150,Burger King,Whopper Sandwich with Cheese without Mayo,,,580.0,29.0,50.0,11.0,32.0,13.0,105.0,1200.0,entree_only,none
154,Burger King,Garden Chicken Salad with Crispy Chicken without Dressing,,,440.0,25.0,31.0,4.0,25.0,7.0,75.0,930.0,entree_only,none
163,Burger King,Value Menu Bacon Cheeseburger,,,280.0,13.0,27.0,7.0,14.0,6.0,45.0,630.0,entree_only,breakfast
166,Burger King,Value Menu Double Cheeseburger,,,360.0,18.0,27.0,7.0,20.0,8.0,70.0,580.0,entree_only,none
172,Burger King,"Kids Chicken Nuggets, 6 piece",,,260.0,16.0,16.0,0.0,12.0,2.5,35.0,470.0,entree_only,none
173,Burger King,"Chicken Nuggets, 10 piece",,,430.0,27.0,27.0,0.0,20.0,4.5,55.0,780.0,entree_only,none
176,Burger King,Quaker Oatmeal Maple Flavor,,,170.0,3.0,32.0,12.0,4.0,1.5,5.0,270.0,entree_only,breakfast
177,Burger King,Croissan'Wich Egg & Cheese,,,300.0,15.0,30.0,4.0,11.0,7.0,130.0,580.0,entree_only,none
194,Burger King,Original Chicken Sandwich without Mayo,,,450.0,16.0,48.0,4.0,28.0,3.5,60.0,990.0,entree_only,none
196,Burger King,Value Menu Rodeo Burger,,,310.0,12.0,38.0,9.0,12.0,4.0,30.0,440.0,entree_only,none
197,Burger King,Whopper Sandwich without Mayo,,,500.0,22.0,49.0,11.0,28.0,9.0,80.0,840.0,entree_only,none
201,Burger King,Chili Cheese Grilled Dog,,,330.0,19.0,28.0,5.0,14.0,8.0,40.0,980.0,entree_only,none
5,Taco Bell,Soft Taco Supreme - Beef,,,210.0,10.0,20.0,2.0,10.0,4.5,30.0,520.0,entree_only,none
7,Taco Bell,Triple Layer Nachos,,,320.0,15.0,41.0,2.0,7.0,1.5,0.0,610.0,entree_only,none
8,Taco Bell,Fresco Soft Taco - Shredded Chicken,,,150.0,6.0,16.0,1.0,9.0,2.0,30.0,430.0,entree_only,none
10,Taco Bell,Beefy Nacho Loaded Griller,,,370.0,15.0,48.0,3.0,12.0,4.0,20.0,820.0,entree_only,none
11,Taco Bell,Shredded Chicken Mini Quesadilla,,,200.0,10.0,15.0,1.0,10.0,3.5,40.0,490.0,entree_only,none
13,Taco Bell,Grilled Breakfast Burrito - Fiesta Potato,,,340.0,14.0,43.0,3.0,10.0,3.5,100.0,780.0,entree_only,breakfast
14,Taco Bell,Burrito Supreme - Beef,,,400.0,15.0,52.0,4.0,17.0,6.0,30.0,1140.0,entree_only,none
16,Taco Bell,Double Decker Taco Supreme,,,340.0,15.0,39.0,3.0,14.0,6.0,30.0,730.0,entree_only,none
17,Taco Bell,Gordita Supreme - Chicken,,,260.0,9.0,29.0,5.0,16.0,3.0,35.0,540.0,entree_only,none
19,Taco Bell,Shredded Chicken Burrito,,,420.0,20.0,47.0,2.0,14.0,5.0,45.0,890.0,entree_only,none
