,brand_name,entree,side,dessert,calories,total_fat,carbs,sugar,protein,saturated_fat,cholesterol,sodium,meal_type,tag
117,Wendy's,Premium Cod,,,180.0,9.0,14.0,0.0,11.0,2.0,30.0,480.0,entree_only,none
118,Wendy's,Kids' Cheeseburger,,,270.0,13.0,25.0,5.0,15.0,6.0,50.0,620.0,entree_only,none
128,Wendy's,4-Piece Chicken Tenders,,,400.0,19.0,26.0,1.0,29.0,3.0,90.0,1230.0,entree_only,none
195,Wendy's,Spicy Chicken Breast,,,270.0,12.0,16.0,0.0,24.0,2.5,70.0,750.0,entree_only,none
231,Wendy's,Kids' 2-Piece Chicken Tenders,,,200.0,10.0,13.0,0.0,15.0,1.5,45.0,620.0,entree_only,none
2,Burger King,Kids Cheeseburger,,,270.0,12.0,27.0,7.0,13.0,5.0,40.0,560.0,entree_only,none
12,Burger King,Hamburger,,,220.0,8.0,26.0,6.0,11.0,3.0,30.0,380.0,entree_only,none
13,Burger King,Bacon Cheeseburger,,,300.0,15.0,27.0,7.0,15.0,6.0,50.0,710.0,entree_only,breakfast
14,Burger King,Grilled Chicken Sandwich,,,470.0,19.0,39.0,7.0,37.0,4.0,85.0,840.0,entree_only,none
41,Burger King,Bacon Cheeseburger Deluxe,,,290.0,13.0,28.0,7.0,14.0,6.0,45.0,640.0,entree_only,breakfast
46,Burger King,Garden Side Salad without dressing,,,60.0,4.0,3.0,2.0,4.0,2.5,10.0,95.0,entree_only,none
64,Burger King,"Chicken Nuggets, 6 piece",,,260.0,16.0,16.0,0.0,12.0,2.5,35.0,470.0,entree_only,none
65,Burger King,Grilled Chicken Sandwich without Mayo,,,370.0,7.0,39.0,7.0,36.0,2.0,75.0,740.0,entree_only,none
117,Burger King,Value Menu Chicken Nuggets,,,170.0,11.0,11.0,0.0,8.0,1.5,25.0,310.0,entree_only,none
126,Burger King,Whopper Jr Sandwich,,,310.0,18.0,27.0,7.0,13.0,5.0,40.0,390.0,entree_only,none
127,Burger King,Double Cheeseburger,,,350.0,18.0,27.0,7.0,20.0,8.0,70.0,580.0,entree_only,none
128,Burger King,"Kids Chicken Nuggets, 4 piece",,,170.0,11.0,11.0,0.0,8.0,1.5,25.0,310.0,entree_only,none
163,Burger King,Value Menu Bacon Cheeseburger,,,280.0,13.0,27.0,7.0,14.0,6.0,45.0,630.0,entree_only,breakfast
166,Burger King,Value Menu Double Cheeseburger,,,360.0,18.0,27.0,7.0,20.0,8.0,70.0,580.0,entree_only,none
172,Burger King,"Kids Chicken Nuggets, 6 piece",,,260.0,16.0,16.0,0.0,12.0,2.5,35.0,470.0,entree_only,none
177,Burger King,Croissan'Wich Egg & Cheese,,,300.0,15.0,30.0,4.0,11.0,7.0,130.0,580.0,entree_only,none
194,Burger King,Original Chicken Sandwich without Mayo,,,450.0,16.0,48.0,4.0,28.0,3.5,60.0,990.0,entree_only,none
201,Burger King,Chili Cheese Grilled Dog,,,330.0,19.0,28.0,5.0,14.0,8.0,40.0,980.0,entree_only,none
5,Taco Bell,Soft Taco Supreme - Beef,,,210.0,10.0,20.0,2.0,10.0,4.5,30.0,520.0,entree_only,none
7,Taco Bell,Triple Layer Nachos,,,320.0,15.0,41.0,2.0,7.0,1.5,0.0,610.0,entree_only,none
8,Taco Bell,Fresco Soft Taco - Shredded Chicken,,,150.0,6.0,16.0,1.0,9.0,2.0,30.0,430.0,entree_only,none
10,Taco Bell,Beefy Nacho Loaded Griller,,,370.0,15.0,48.0,3.0,12.0,4.0,20.0,820.0,entree_only,none
11,Taco Bell,Shredded Chicken Mini Quesadilla,,,200.0,10.0,15.0,1.0,10.0,3.5,40.0,490.0,entree_only,none
13,Taco Bell,Grilled Breakfast Burrito - Fiesta Potato,,,340.0,14.0,43.0,3.0,10.0,3.5,100.0,780.0,entree_only,breakfast
14,Taco Bell,Burrito Supreme - Beef,,,400.0,15.0,52.0,4.0,17.0,6.0,30.0,1140.0,entree_only,none
16,Taco Bell,Double Decker Taco Supreme,,,340.0,15.0,39.0,3.0,14.0,6.0,30.0,730.0,entree_only,none
17,Taco Bell,Gordita Supreme - Chicken,,,260.0,9.0,29.0,5.0,16.0,3.0,35.0,540.0,entree_only,none
20,Taco Bell,Chipotle Chicken Loaded Griller,,,340.0,16.0,36.0,3.0,14.0,4.5,35.0,770.0,entree_only,none
22,Taco Bell,Breakfast Soft Taco - Bacon,,,230.0,14.0,15.0,1.0,12.0,5.0,120.0,560.0,entree_only,breakfast
23,Taco Bell,Crunchy Taco Supreme,,,190.0,11.0,15.0,2.0,8.0,4.5,30.0,340.0,entree_only,none
24,Taco Bell,Burrito Supreme - Chicken,,,380.0,12.0,49.0,4.0,20.0,5.0,35.0,1110.0,entree_only,none
25,Taco Bell,Chili Cheese Burrito (regional),,,370.0,17.0,40.0,2.0,16.0,8.0,40.0,960.0,entree_only,none
26,Taco Bell,Fiery Doritos Locos Taco Supreme,,,190.0,11.0,15.0,2.0,8.0,4.5,30.0,390.0,entree_only,none
49,Taco Bell,Cool Ranch Doritos Double Decker Taco,,,320.0,13.0,36.0,2.0,13.0,5.0,25.0,770.0,entree_only,none
56,Taco Bell,Fresco Burrito Supreme - Chicken,,,340.0,8.0,48.0,4.0,18.0,2.5,25.0,1070.0,entree_only,none
57,Taco Bell,Fresco Crunchy Taco - Beef,,,140.0,7.0,14.0,1.0,6.0,2.5,15.0,300.0,entree_only,none
59,Taco Bell,Beefy 5-Layer Burrito,,,500.0,19.0,64.0,5.0,19.0,7.0,30.0,1280.0,entree_only,none
60,Taco Bell,Double Decker Taco,,,320.0,13.0,36.0,2.0,13.0,4.5,25.0,710.0,entree_only,none
62,Taco Bell,Spicy Potato Soft Taco,,,230.0,12.0,27.0,1.0,5.0,3.0,10.0,460.0,entree_only,none
66,Taco Bell,Fiery Doritos Locos Taco,,,170.0,9.0,13.0,1.0,8.0,3.5,25.0,370.0,entree_only,none
70,Taco Bell,Nacho Cheese Doritos Locos Taco Supreme,,,190.0,11.0,15.0,2.0,8.0,4.5,30.0,380.0,entree_only,none
71,Taco Bell,Breakfast Soft Taco - Sausage,,,230.0,14.0,15.0,1.0,9.0,5.0,115.0,400.0,entree_only,breakfast
72,Taco Bell,Double Tostada (regional),,,270.0,11.0,32.0,2.0,12.0,4.0,15.0,660.0,entree_only,none
78,Taco Bell,Tequila (80 proof) - Double - LV,,,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entree_only,none
81,Taco Bell,Rum (80 proof) - Double - LV,,,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entree_only,none
82,Taco Bell,Vodka (80 proof) - Double - LV,,,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entree_only,none
97,Taco Bell,Sausage Flatbread Quesadilla,,,330.0,18.0,27.0,3.0,14.0,6.0,120.0,520.0,entree_only,breakfast
98,Taco Bell,Mini Skillet Bowl,,,180.0,11.0,16.0,1.0,5.0,2.0,100.0,430.0,entree_only,none
103,Taco Bell,Meximelt,,,250.0,13.0,19.0,1.0,14.0,7.0,40.0,720.0,entree_only,none
104,Taco Bell,Chalupa Supreme - Beef,,,350.0,18.0,33.0,3.0,13.0,5.0,25.0,560.0,entree_only,none
105,Taco Bell,Power Menu Bowl - Veggie,,,480.0,19.0,65.0,2.0,14.0,5.0,20.0,970.0,entree_only,none
108,Taco Bell,Gordita Supreme - Steak,,,270.0,9.0,30.0,5.0,16.0,3.5,30.0,550.0,entree_only,none
109,Taco Bell,Cool Ranch Doritos Locos Taco Supreme,,,190.0,11.0,15.0,2.0,8.0,4.5,30.0,400.0,entree_only,none
111,Taco Bell,Bean Burrito,,,380.0,11.0,55.0,3.0,14.0,4.0,5.0,1060.0,entree_only,none
114,Taco Bell,Power Menu Burrito - Veggie,,,430.0,19.0,52.0,4.0,14.0,6.0,20.0,940.0,entree_only,none
116,Taco Bell,Spicy Tostada,,,210.0,10.0,22.0,1.0,6.0,3.0,10.0,440.0,entree_only,none
117,Taco Bell,Crunchy Taco,,,170.0,9.0,13.0,1.0,8.0,3.5,25.0,310.0,entree_only,none
126,Taco Bell,Whiskey (80 proof) - Double - LV,,,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entree_only,none
143,Taco Bell,Chalupa Supreme - Chicken,,,330.0,16.0,31.0,3.0,16.0,3.5,35.0,520.0,entree_only,none
146,Taco Bell,Grilled Breakfast Burrito - Bacon,,,350.0,17.0,37.0,3.0,13.0,4.5,115.0,890.0,entree_only,breakfast
149,Taco Bell,Cool Ranch Doritos Locos Taco,,,170.0,10.0,13.0,1.0,8.0,3.5,25.0,380.0,entree_only,none
150,Taco Bell,Breakfast Soft Taco - Egg & Cheese,,,170.0,9.0,15.0,1.0,7.0,3.0,105.0,330.0,entree_only,breakfast
151,Taco Bell,Combo Burrito,,,450.0,18.0,51.0,3.0,21.0,7.0,40.0,1380.0,entree_only,none
152,Taco Bell,7-Layer Burrito,,,440.0,16.0,59.0,4.0,14.0,6.0,15.0,1000.0,entree_only,none
156,Taco Bell,Cheesy Potato Griller,,,340.0,13.0,50.0,3.0,8.0,3.0,5.0,780.0,entree_only,none
161,Taco Bell,Beefy Mini Quesadilla,,,210.0,11.0,17.0,1.0,9.0,4.0,25.0,540.0,entree_only,none
162,Taco Bell,Grilled Breakfast Burrito - Sausage,,,340.0,17.0,36.0,3.0,11.0,5.0,110.0,730.0,entree_only,breakfast
165,Taco Bell,Black Bean Burrito,,,390.0,11.0,60.0,2.0,13.0,4.0,10.0,1020.0,entree_only,none
181,Taco Bell,Nacho Cheese Doritos Double Decker Taco,,,320.0,13.0,36.0,2.0,14.0,5.0,25.0,750.0,entree_only,none
182,Taco Bell,Fiery Doritos Double Decker Taco,,,320.0,13.0,36.0,2.0,14.0,4.5,25.0,760.0,entree_only,none
209,Taco Bell,Grilled Steak Soft Taco,,,200.0,10.0,17.0,2.0,12.0,3.5,30.0,510.0,entree_only,none
210,Taco Bell,Nacho Cheese Doritos Locos Taco,,,160.0,9.0,13.0,1.0,8.0,3.5,25.0,360.0,entree_only,none
214,Taco Bell,Gordita Supreme - Beef,,,280.0,12.0,31.0,5.0,13.0,4.5,30.0,570.0,entree_only,none
218,Taco Bell,Fresco Bean Burrito,,,350.0,9.0,56.0,3.0,13.0,2.5,0.0,1050.0,entree_only,none
219,Taco Bell,Fresco Soft Taco - Beef,,,160.0,6.0,18.0,1.0,8.0,2.5,15.0,480.0,entree_only,none
220,Taco Bell,Fresco Burrito Supreme - Steak,,,340.0,9.0,49.0,4.0,17.0,3.0,20.0,1090.0,entree_only,none
222,Taco Bell,Beefy Fritos Burrito,,,440.0,18.0,57.0,3.0,13.0,4.5,20.0,1000.0,entree_only,none
224,Taco Bell,Fresco Soft Taco - Steak,,,150.0,4.0,17.0,2.0,10.0,1.5,20.0,460.0,entree_only,none
226,Taco Bell,Soft Taco - Chicken,,,170.0,8.0,16.0,1.0,10.0,3.0,40.0,450.0,entree_only,none
227,Taco Bell,Soft Taco - Beef,,,180.0,9.0,18.0,1.0,9.0,4.0,25.0,500.0,entree_only,none
228,Taco Bell,Chalupa Supreme - Steak,,,330.0,16.0,32.0,3.0,15.0,4.0,30.0,530.0,entree_only,none
229,Taco Bell,Cheesy Bean & Rice Burrito,,,430.0,17.0,57.0,4.0,11.0,3.5,5.0,910.0,entree_only,none
232,Taco Bell,Burrito Supreme - Steak,,,390.0,12.0,50.0,4.0,19.0,5.0,35.0,1120.0,entree_only,none
81,Burger King,Double Cheeseburger,Chicken Noodle Soup,,450.0,19.5,38.0,7.0,31.0,8.0,85.0,1460.0,entree_side,none
101,McDonald's,Egg McMuffin,Mac N Cheese,,430.0,16.0,46.0,7.0,24.0,8.5,255.0,970.0,entree_side,breakfast
106,McDonald's,Egg McMuffin,Chicken Noodle Soup,,400.0,13.5,41.0,3.0,29.0,6.0,260.0,1610.0,entree_side,breakfast
118,McDonald's,Egg McMuffin,Side Salad,,315.0,12.0,33.0,4.0,19.0,6.0,245.0,745.0,entree_side,breakfast
124,McDonald's,Egg McMuffin,Kids Fries,,410.0,17.0,45.0,3.0,19.0,7.0,245.0,810.0,entree_side,breakfast
131,McDonald's,Grilled Onion Cheddar Burger,Chicken Noodle Soup,,410.0,14.5,43.0,6.0,26.0,6.0,60.0,1520.0,entree_side,none
143,McDonald's,Grilled Onion Cheddar Burger,Side Salad,,325.0,13.0,35.0,7.0,16.0,6.0,45.0,655.0,entree_side,none
149,McDonald's,Grilled Onion Cheddar Burger,Kids Fries,,420.0,18.0,47.0,6.0,16.0,7.0,45.0,720.0,entree_side,none
181,McDonald's,McDouble,Chicken Noodle Soup,,480.0,19.5,45.0,7.0,34.0,8.0,85.0,1720.0,entree_side,none
201,McDonald's,"Ranch Snack Wrap, Grilled",Mac N Cheese,,430.0,17.0,41.0,6.0,27.0,7.0,75.0,1130.0,entree_side,none
206,McDonald's,"Ranch Snack Wrap, Grilled",Chicken Noodle Soup,,400.0,14.5,36.0,2.0,32.0,4.5,80.0,1770.0,entree_side,none
218,McDonald's,"Ranch Snack Wrap, Grilled",Side Salad,,315.0,13.0,28.0,3.0,22.0,4.5,65.0,905.0,entree_side,none
224,McDonald's,"Ranch Snack Wrap, Grilled",Kids Fries,,410.0,18.0,40.0,2.0,22.0,5.5,65.0,970.0,entree_side,none
293,McDonald's,"Premium McWrap Chicken & Ranch, Grilled",Side Salad,,505.0,19.0,44.0,6.0,40.0,7.0,120.0,1525.0,entree_side,none
381,McDonald's,Buffalo Ranch McChicken,Chicken Noodle Soup,,460.0,17.5,51.0,5.0,26.0,3.0,55.0,1680.0,entree_side,none
393,McDonald's,Buffalo Ranch McChicken,Side Salad,,375.0,16.0,43.0,6.0,16.0,3.0,40.0,815.0,entree_side,none
476,McDonald's,Country Ham Biscuit,Mac N Cheese,,470.0,18.0,52.0,6.0,21.0,10.5,45.0,1840.0,entree_side,breakfast
481,McDonald's,Country Ham Biscuit,Chicken Noodle Soup,,440.0,15.5,47.0,2.0,26.0,8.0,50.0,2480.0,entree_side,breakfast
493,McDonald's,Country Ham Biscuit,Side Salad,,355.0,14.0,39.0,3.0,16.0,8.0,35.0,1615.0,entree_side,breakfast
499,McDonald's,Country Ham Biscuit,Kids Fries,,450.0,19.0,51.0,2.0,16.0,9.0,35.0,1680.0,entree_side,breakfast
506,McDonald's,Biscuit Chicken Sausage,Chicken Noodle Soup,,450.0,18.5,47.0,2.0,24.0,8.0,65.0,1990.0,entree_side,breakfast
518,McDonald's,Biscuit Chicken Sausage,Side Salad,,365.0,17.0,39.0,3.0,14.0,8.0,50.0,1125.0,entree_side,breakfast
631,McDonald's,Pico Guacamole Grilled Chicken Sandwich on Potato Roll,Chicken Noodle Soup,,570.0,18.5,51.0,6.0,49.0,5.0,130.0,2400.0,entree_side,none
643,McDonald's,Pico Guacamole Grilled Chicken Sandwich on Potato Roll,Side Salad,,485.0,17.0,43.0,7.0,39.0,5.0,115.0,1535.0,entree_side,none
726,McDonald's,Steak & Egg Burrito,Mac N Cheese,,480.0,19.0,54.0,7.0,22.0,8.5,125.0,1190.0,entree_side,breakfast
731,McDonald's,Steak & Egg Burrito,Chicken Noodle Soup,,450.0,16.5,49.0,3.0,27.0,6.0,130.0,1830.0,entree_side,breakfast
743,McDonald's,Steak & Egg Burrito,Side Salad,,365.0,15.0,41.0,4.0,17.0,6.0,115.0,965.0,entree_side,breakfast
781,McDonald's,Caesar McWrap With Artisan Grilled Chicken,Chicken Noodle Soup,,570.0,19.5,51.0,5.0,49.0,5.0,125.0,2320.0,entree_side,none
793,McDonald's,Caesar McWrap With Artisan Grilled Chicken,Side Salad,,485.0,18.0,43.0,6.0,39.0,5.0,110.0,1455.0,entree_side,none
806,McDonald's,Green Chili Double Cheeseburger,Chicken Noodle Soup,,490.0,19.5,45.0,7.0,34.0,8.0,85.0,1640.0,entree_side,none
952,McDonald's,Chicken McNuggets (6 piece),Cuties,,305.0,16.0,24.0,6.0,15.0,2.5,45.0,510.0,entree_side,none
956,McDonald's,Chicken McNuggets (6 piece),Chicken Noodle Soup,,370.0,17.5,27.0,0.0,26.0,2.5,60.0,1390.0,entree_side,none
968,McDonald's,Chicken McNuggets (6 piece),Side Salad,,285.0,16.0,19.0,1.0,16.0,2.5,45.0,525.0,entree_side,none
972,McDonald's,Chicken McNuggets (6 piece),Apple Slices,,305.0,16.0,25.0,7.0,15.0,2.5,45.0,510.0,entree_side,none
1327,McDonald's,Portuguese Sausage Side Order,Cuties,,255.0,19.0,10.0,7.0,10.0,7.0,50.0,570.0,entree_side,breakfast
1343,McDonald's,Portuguese Sausage Side Order,Side Salad,,235.0,19.0,5.0,2.0,11.0,7.0,50.0,585.0,entree_side,breakfast
1381,McDonald's,Green Chili Double Cheeseburger New York,Chicken Noodle Soup,,490.0,19.5,45.0,7.0,34.0,8.0,85.0,1630.0,entree_side,none
1531,McDonald's,Cheeseburger Bacon,Chicken Noodle Soup,,460.0,17.5,45.0,7.0,32.0,7.0,70.0,1800.0,entree_side,breakfast
1603,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,Mozzarella Sticks (3 Piece),,550.0,19.0,54.0,7.0,43.0,6.5,120.0,1600.0,entree_side,none
1606,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,Chicken Noodle Soup,,460.0,10.5,47.0,6.0,46.0,2.5,115.0,2020.0,entree_side,none
1618,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,Side Salad,,375.0,9.0,39.0,7.0,36.0,2.5,100.0,1155.0,entree_side,none
1623,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,Hash Browns,,510.0,18.0,52.0,6.0,36.0,4.0,100.0,1460.0,entree_side,none
1624,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,Kids Fries,,470.0,14.0,51.0,6.0,36.0,3.5,100.0,1220.0,entree_side,none
1751,McDonald's,Chicken Sausage McMuffin,Mac N Cheese,,420.0,16.0,45.0,6.0,22.0,8.5,75.0,1040.0,entree_side,breakfast
1756,McDonald's,Chicken Sausage McMuffin,Chicken Noodle Soup,,390.0,13.5,40.0,2.0,27.0,6.0,80.0,1680.0,entree_side,breakfast
1768,McDonald's,Chicken Sausage McMuffin,Side Salad,,305.0,12.0,32.0,3.0,17.0,6.0,65.0,815.0,entree_side,breakfast
1774,McDonald's,Chicken Sausage McMuffin,Kids Fries,,400.0,17.0,44.0,2.0,17.0,7.0,65.0,880.0,entree_side,breakfast
1831,McDonald's,Deluxe Artisan Grilled Chicken on Sesame Seed Bun,Chicken Noodle Soup,,460.0,10.5,47.0,7.0,46.0,2.5,115.0,1950.0,entree_side,none
1848,McDonald's,Deluxe Artisan Grilled Chicken on Sesame Seed Bun,Hash Browns,,510.0,18.0,52.0,7.0,36.0,4.0,100.0,1390.0,entree_side,none
1849,McDonald's,Deluxe Artisan Grilled Chicken on Sesame Seed Bun,Kids Fries,,470.0,14.0,51.0,7.0,36.0,3.5,100.0,1150.0,entree_side,none
2176,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,Mac N Cheese,,320.0,16.0,25.0,7.0,20.0,7.5,50.0,740.0,entree_side,breakfast
2181,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,Chicken Noodle Soup,,290.0,13.5,20.0,3.0,25.0,5.0,55.0,1380.0,entree_side,breakfast
2193,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,Side Salad,,205.0,12.0,12.0,4.0,15.0,5.0,40.0,515.0,entree_side,breakfast
2199,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,Kids Fries,,300.0,17.0,24.0,3.0,15.0,6.0,40.0,580.0,entree_side,breakfast
2200,McDonald's,Premium Southwest Salad with Buttermilk Crispy Chicken,Small French Fries,,390.0,18.0,48.0,4.0,11.0,4.5,15.0,360.0,entree_side,none
2203,McDonald's,Premium Southwest Salad with Buttermilk Crispy Chicken,Mozzarella Sticks (3 Piece),,350.0,17.0,37.0,5.0,16.0,7.0,35.0,660.0,entree_side,none
